Year,Month,ATM id,STATE,Fin Txn,Non Fin Txn,Monthly Txn,AVG Fin Txn,AVG Non Fin Txn,AVG Total TXN,Monthly Rev,MHA Revenue,ATM Rev Total,CRA,Spare Rep. (SLM) (AssetOEM),Site Maint (Non Asset),Spare Rep.(UPS),FLM,SUPPLIES,UPS AMC,ATM AMC,VSAT AMC,BW + BCKHL,ESURVEILLANCE,HK,SUD,EBILL,RENT,Penalty,Total Cost,Gross Profit,GROSS PROFIT %,ATM TYPE,MARGIN RANGE Current Month,TXN RANGE Current Month,TXN RANGE Previous Month,TXN RANGE Previous 2nd Month,Revenue Performance,Up Time
2024,November, TSFTSK000969151 ,Assam,3814.0,1464.0,5278.0,127.0,49.0,176.0,52572.0,3544.0,56116.0,11573.0,,,,240.0,101,,1250,345.0,715.0,3700.0,775.0,550.0,2538.0,,2629.0,25971,30145,0.54,Regular,Above 30%,175  200,125  150,150  175,Above 50K,0.93
2024,November, TSFTSK000969154 ,Assam,2315.0,803.0,3118.0,77.0,27.0,104.0,33458.0,2256.0,35714.0,11573.0,,,30000.0,240.0,101,176.0,1250,345.0,715.0,5500.0,775.0,550.0,6795.0,,1673.0,61249,25535,0.71,Regular,Below 0%,100  125,50  75,175  200,35K  40K,0.46
2024,November, TSFTSK000969152 ,Assam,3008.0,928.0,3936.0,100.0,31.0,131.0,42225.0,2847.0,45072.0,11134.0,,,,240.0,101,169.0,1250,226.0,616.0,3700.0,775.0,550.0,2165.0,,2111.0,24593,20479,0.45,Regular,Above 30%,125  150,100  125,75  100,40K  50K,0.93
2024,November, TSFTSK000971358 ,Assam,2424.0,605.0,3029.0,81.0,20.0,101.0,32803.0,2316.0,35119.0,10842.0,,,,240.0,101,176.0,1250,345.0,,,775.0,550.0,2000.0,,1640.0,19475,15644,0.45,Captive,Above 30%,100  125,75  100,50  75,35K  40K,1.0
2024,November, TSFTSK000971362 ,Assam,1632.0,299.0,1931.0,54.0,10.0,64.0,22785.0,1536.0,24321.0,10842.0,,1200.0,,240.0,101,176.0,1250,345.0,,2750.0,,,1500.0,3300.0,1139.0,24399,78,0.0,Regular,Below 0%,50  75,75  100,75  100,20K  25K,0.73
2024,November, TSFTSK000971363 ,Assam,2658.0,413.0,3071.0,89.0,14.0,102.0,36777.0,2479.0,39257.0,10842.0,,,,240.0,101,176.0,1250,345.0,715.0,5500.0,775.0,550.0,3000.0,,1839.0,26889,12368,0.32,Regular,Above 30%,100  125,100  125,100  125,35K  40K,1.0
2024,November, TSFTSK000983035 ,Assam,2619.0,447.0,3066.0,87.0,15.0,102.0,36377.0,2452.0,38829.0,11134.0,,,,240.0,101,176.0,1250,345.0,715.0,5500.0,775.0,550.0,6007.0,,1819.0,30168,8662,0.22,Regular,20%  25%,100  125,100  125,75  100,35K  40K,1.0
2024,November, TSFTSK000104044 ,Assam,3961.0,1277.0,5238.0,132.0,43.0,175.0,36257.0,2543.0,38800.0,11134.0,,,,240.0,101,169.0,1250,,,5500.0,,,2000.0,,1813.0,23762,15038,0.39,Captive,Above 30%,150  175,125  150,125  150,35K  40K,1.0
2024,November, TSFTSK000104047 ,Assam,5065.0,877.0,5942.0,169.0,29.0,198.0,65340.0,4405.0,69745.0,11134.0,,,,240.0,101,176.0,1250,345.0,715.0,5500.0,775.0,550.0,1825.0,,3267.0,27434,42311,0.61,Regular,Above 30%,175  200,150  175,Above 200,Above 50K,1.0
2024,November, TSFTSK000104060 ,Assam,8281.0,2421.0,10702.0,276.0,81.0,357.0,94457.0,6368.0,100825.0,9300.0,,350.0,,240.0,101,176.0,1250,226.0,,,,550.0,1620.0,3000.0,4723.0,23091,77734,0.77,Regular,Above 30%,Above 200,150  175,125  150,Above 50K,0.91
2024,November, TSFTSK000104072 ,Assam,4641.0,1058.0,5699.0,155.0,35.0,190.0,61009.0,4113.0,65122.0,11134.0,,350.0,,240.0,101,176.0,1250,345.0,715.0,5500.0,775.0,550.0,2360.0,,3050.0,28102,37020,0.57,Regular,Above 30%,175  200,125  150,150  175,Above 50K,0.99
2024,November, TSFTSK000104080 ,Assam,2636.0,560.0,3196.0,88.0,19.0,107.0,36832.0,2483.0,39315.0,10842.0,,,,240.0,101,176.0,1250,,,2750.0,,,,2100.0,1842.0,20856,18459,0.47,Regular,Above 30%,100  125,50  75,50  75,35K  40K,1.0
2024,November, TSFTSK000104084 ,Assam,4701.0,1211.0,5912.0,157.0,40.0,197.0,61914.0,4174.0,66088.0,8924.0,,350.0,,240.0,101,,1250,,,2750.0,775.0,550.0,1812.0,,3096.0,21402,44686,0.68,Regular,Above 30%,175  200,175  200,175  200,Above 50K,0.99
2024,November, TSFTSK000119166 ,Assam,2775.0,675.0,3450.0,93.0,23.0,115.0,38786.0,2615.0,41401.0,9200.0,,,,240.0,101,169.0,1250,226.0,616.0,3700.0,775.0,550.0,3000.0,,1939.0,23322,18079,0.44,Regular,Above 30%,100  125,100  125,75  100,40K  50K,0.89
2024,November, TSFTSK000119167 ,Assam,5933.0,1178.0,7111.0,198.0,39.0,237.0,73979.0,4987.0,78967.0,9200.0,,,,240.0,101,169.0,1250,226.0,,2750.0,775.0,550.0,2500.0,,523.0,19839,59128,0.75,Regular,Above 30%,Above 200,100  125,100  125,Above 50K,1.0
2024,November, TSFTSK000119169 ,Assam,3508.0,995.0,4503.0,117.0,33.0,150.0,48475.0,3268.0,51743.0,10700.0,,,,240.0,101,176.0,1250,226.0,,1850.0,,,1500.0,,2424.0,20023,31721,0.61,Regular,Above 30%,150  175,Above 200,150  175,Above 50K,0.84
2024,November, TSFTSK000119168 ,Assam,2545.0,977.0,3522.0,85.0,33.0,117.0,36685.0,2473.0,39158.0,9200.0,,,,240.0,101,169.0,1250,226.0,616.0,3700.0,775.0,550.0,3000.0,,1834.0,23217,15941,0.41,Regular,Above 30%,100  125,50  75,100  125,35K  40K,1.0
2024,November, TSFTSK000130102 ,Assam,2735.0,668.0,3403.0,91.0,22.0,113.0,38283.0,2581.0,40864.0,10842.0,,,,240.0,101,169.0,1250,345.0,715.0,5500.0,775.0,550.0,2437.0,,1914.0,26393,14470,0.35,Regular,Above 30%,100  125,75  100,100  125,40K  50K,1.0
2024,November, TSFTSK000145182 ,Assam,2109.0,572.0,2681.0,70.0,19.0,89.0,30064.0,2027.0,32091.0,10842.0,,,,240.0,101,169.0,1250,226.0,616.0,5500.0,775.0,550.0,3581.0,,1503.0,26909,5182,0.16,Regular,15%  20%,75  100,100  125,75  100,30K  35K,0.34
2024,November, TSFTSK000145183 ,Assam,4583.0,986.0,5569.0,153.0,33.0,186.0,60262.0,4063.0,64325.0,11134.0,,,,240.0,101,176.0,1250,226.0,616.0,5500.0,775.0,550.0,2674.0,,3013.0,27811,36513,0.57,Regular,Above 30%,175  200,125  150,75  100,Above 50K,0.98
2024,November, TSFTSK000145184 ,Assam,4937.0,1139.0,6076.0,165.0,38.0,203.0,64286.0,4334.0,68620.0,8801.0,,,,240.0,101,169.0,1250,226.0,616.0,5500.0,775.0,550.0,2892.0,,3214.0,25890,42730,0.62,Regular,Above 30%,Above 200,150  175,150  175,Above 50K,0.99
2024,November, TSFTSK000145185 ,Assam,3620.0,740.0,4360.0,121.0,25.0,145.0,49212.0,3318.0,52530.0,10842.0,,,,240.0,101,169.0,1250,226.0,616.0,5500.0,775.0,550.0,2650.0,,2461.0,26935,25595,0.49,Regular,Above 30%,125  150,100  125,125  150,Above 50K,0.94
2024,November, TSFTSK000145186 ,Assam,1956.0,558.0,2514.0,65.0,19.0,84.0,27975.0,1886.0,29861.0,11801.0,,,,240.0,101,169.0,1250,345.0,715.0,5500.0,775.0,550.0,2177.0,,1399.0,26577,3284,0.11,Regular,10%  15%,75  100,100  125,50  75,25K  30K,0.92
2024,November, TSFTSK000145187 ,Assam,3106.0,815.0,3921.0,104.0,27.0,131.0,43147.0,2909.0,46056.0,11134.0,,,,240.0,101,176.0,1250,345.0,715.0,5500.0,775.0,550.0,2892.0,,2157.0,27391,18665,0.41,Regular,Above 30%,125  150,125  150,150  175,40K  50K,1.0
